Date,Open,High,Low,Close,Volume
2019-11-28,28927.92578,28927.92578,28539.86914,28680.98047,561653
2019-11-29,28575.14648,28857.36914,28575.14648,28575.14648,555048
2019-12-02,28434.03516,28434.03516,27799.03125,27799.03125,995025
2019-12-03,27799.03125,28257.64453,27516.80859,28010.69922,1115185
2019-12-04,28010.69922,28610.42383,27940.14258,28469.3125,499333
2019-12-05,28610.42383,28645.70313,27975.42188,28222.36719,557911
2019-12-06,28010.69922,28363.47852,27904.86523,27975.42188,531393
2019-12-09,28222.36719,28222.36719,27975.42188,28222.36719,508205
2019-12-10,28222.36719,28469.3125,28045.97656,28151.81055,589120
2019-12-11,28151.81055,28292.92188,28081.25586,28292.92188,397031
2019-12-12,28645.70313,28927.92578,28363.47852,28927.92578,1026263
2019-12-13,28927.92578,29598.20703,28927.92578,29562.92969,2021176
2019-12-16,29774.59766,29809.875,29280.70508,29562.92969,1358297
2019-12-17,29492.37305,29562.92969,29139.59375,29245.42773,1044149
2019-12-18,28998.48242,30021.54297,28998.48242,29633.48438,2308905
2019-12-19,29704.04102,29950.98633,29210.15039,29774.59766,1224390
2019-12-20,29633.48438,30197.93164,29633.48438,30162.6543,1010460
2019-12-23,30162.6543,31714.88477,30162.6543,31573.77344,3462019
2019-12-24,31432.66016,31855.99609,31256.27148,31679.60742,1192698
2019-12-25,31115.16016,31926.55273,31115.16016,31891.27539,829766
2019-12-26,31785.44141,31997.10742,31185.71484,31185.71484,1028743
2019-12-27,31185.71484,32596.83398,31044.60352,32596.83398,1556226
2019-12-30,32667.38867,33267.11328,32455.72266,32526.27734,1360126
2019-12-31,32596.83398,32808.5,32385.16602,32561.55664,893489
2020-01-02,32455.72266,33302.39453,32385.16602,33090.72656,1236777
2020-01-03,33408.22656,33514.0625,32949.61328,32949.61328,855972
2020-01-06,32949.61328,32949.61328,32314.60938,32314.60938,1126042
2020-01-07,32314.60938,32949.61328,31891.27539,32949.61328,746768
2020-01-08,32455.72266,33796.28516,32314.60938,33231.83594,1744473
2020-01-09,33690.44922,35207.40234,33584.61719,35031.01172,2229705
2020-01-10,35031.01172,36689.07813,34995.73438,36195.18359,2135057
2020-01-13,35207.40234,36336.29688,34925.17969,35348.51563,772067
2020-01-14,35348.51563,36336.29688,35207.40234,35348.51563,1207836
2020-01-15,35207.40234,36195.18359,35207.40234,35983.51953,985444
2020-01-16,35983.51953,38170.75,35983.51953,38100.19531,1423097
2020-01-17,38170.75,38523.53125,37465.19141,37747.41406,912028
2020-01-20,37747.41406,38241.30859,37535.74609,37606.30469,1079498
2020-01-21,37606.30469,38452.97656,37606.30469,38100.19531,949033
2020-01-22,38100.19531,39370.20313,37959.08203,39158.53516,1149994
2020-01-30,38452.97656,38735.19922,36689.07813,37182.96875,1968240
2020-01-31,36900.74609,37817.97266,36336.29688,36336.29688,1636389
2020-02-03,35136.84766,38805.75391,33796.28516,37747.41406,2214640
2020-02-04,38382.41797,38594.08594,37817.97266,38382.41797,2560366
2020-02-05,38735.19922,38946.86719,37747.41406,37747.41406,1018638
2020-02-06,37676.85938,38170.75,37394.63672,37535.74609,2083354
2020-02-07,37182.96875,37606.30469,36406.85156,36477.41016,2127588
2020-02-10,35912.96094,36124.62891,34642.95703,34642.95703,1575601
2020-02-11,34642.95703,36265.74219,34642.95703,35842.40625,1299791
2020-02-12,36336.29688,36547.96484,35771.85156,35842.40625,998568
2020-02-13,35771.85156,35983.51953,35207.40234,35560.18359,820369
2020-02-14,35348.51563,35701.29297,35277.95703,35277.95703,888712
2020-02-17,35419.07031,36336.29688,35348.51563,36336.29688,1224177
2020-02-18,36618.51953,37112.41406,36336.29688,36689.07813,1246429
2020-02-19,36689.07813,36759.63281,36124.62891,36195.18359,527595
2020-02-20,36618.51953,36689.07813,36124.62891,36195.18359,783505
2020-02-21,36195.18359,36195.18359,34396.00781,34925.17969,3711977
2020-02-24,34007.95313,34431.28906,32667.38867,32667.38867,1532414
2020-02-25,31750.16211,34431.28906,31750.16211,34431.28906,1245267
2020-02-26,33584.61719,34078.50781,33055.44531,33161.28125,887734
2020-02-27,33161.28125,33655.17188,32773.22266,33231.83594,1024265
2020-02-28,32455.72266,32737.94531,31785.44141,32102.94141,1378083
2020-03-02,32385.16602,32385.16602,31750.16211,31855.99609,805446
2020-03-03,33020.16797,33690.44922,32244.05469,33090.72656,1441267
2020-03-04,33161.28125,33161.28125,32385.16602,32561.55664,965687
2020-03-05,32843.78125,33337.67188,32808.5,32914.33594,1236763
2020-03-06,32102.94141,33267.11328,32102.94141,33055.44531,788012
2020-03-09,30832.93555,31538.49414,30762.37891,30762.37891,1337974
2020-03-10,29986.26563,31044.60352,29139.59375,29915.70898,1936364
2020-03-11,30691.82422,30691.82422,27834.30859,27834.30859,2157196
2020-03-12,25929.29883,26599.58008,25894.02148,25894.02148,2170108
2020-03-13,24094.8457,25894.02148,24094.8457,24694.57031,3302755
2020-03-16,24694.57031,25364.85156,22965.95117,23142.33984,3106173
2020-03-17,21590.11133,23918.45508,21590.11133,23847.90039,2514799
2020-03-18,23989.01172,25047.34961,23953.73438,24377.06836,2471754
2020-03-19,23953.73438,24130.12305,23107.0625,23565.67578,1284753
2020-03-20,23706.78906,24024.28906,23212.89648,23354.00781,1093203
2020-03-23,21872.33398,22507.33789,21731.22266,21731.22266,3867443
2020-03-24,21872.33398,22542.61523,21660.66602,22295.66992,1739073
2020-03-25,23565.67578,23600.95508,23142.33984,23424.56445,2284683
2020-03-26,23283.45313,24130.12305,22683.72656,23495.12109,1627899
2020-03-27,23354.00781,23812.62109,22860.11719,23283.45313,1599029
2020-03-30,21872.33398,22507.33789,21660.66602,21801.7793,1940913
2020-03-31,22577.89258,22683.72656,20813.99609,21766.5,1443918
2020-04-01,21801.7793,23283.45313,21731.22266,22648.44922,1687965
2020-04-03,23001.22852,24200.67969,23001.22852,24200.67969,2790721
2020-04-06,25188.46289,25894.02148,24765.12695,25894.02148,2666877
2020-04-07,26458.46875,26599.58008,25400.13086,26105.68945,2541317
2020-04-08,25259.01758,26811.24805,24765.12695,26775.9707,2063837
2020-04-09,26775.9707,27234.58398,26564.30273,26599.58008,1911958
2020-04-10,26317.35742,26670.13672,25894.02148,26035.13281,1797977
2020-04-13,25894.02148,26599.58008,25823.46484,26211.52344,3664766
2020-04-14,26140.9668,26493.74609,25259.01758,25752.91016,1729634
2020-04-15,25894.02148,26599.58008,25894.02148,26317.35742,1569067
2020-04-16,26246.80078,26317.35742,25929.29883,26317.35742,1715334
2020-04-17,26705.41406,26952.35938,26246.80078,26387.91211,1632336
2020-04-20,26740.69336,26811.24805,26070.41211,26176.24609,1944314
2020-04-21,25400.13086,25964.57813,24482.90234,24482.90234,3173340
2020-04-23,26105.68945,26246.80078,25470.68555,25541.24219,1119579
2020-04-24,25717.63086,25717.63086,24906.23828,25400.13086,840339
2020-04-27,25541.24219,25682.35352,24765.12695,24765.12695,1708828
2020-04-28,24765.12695,25259.01758,24341.79102,24800.4043,835492
2020-04-29,24694.57031,25329.57422,24694.57031,25117.90625,843996
2020-05-04,25117.90625,25682.35352,24765.12695,24906.23828,929233
2020-05-05,24906.23828,25259.01758,24835.68359,24906.23828,606114
2020-05-06,25012.07227,25400.13086,24906.23828,25400.13086,1047849
2020-05-07,25611.79883,26529.02539,25611.79883,26493.74609,3577941
2020-05-08,26775.9707,27728.47461,26493.74609,26811.24805,3633387
2020-05-11,27164.02734,27516.80859,26775.9707,27164.02734,1714568
2020-05-12,27022.91602,27269.86133,26775.9707,27199.30664,2332844
2020-05-13,27022.91602,28081.25586,26670.13672,27940.14258,3863459
2020-05-14,27516.80859,28575.14648,27516.80859,28010.69922,2827387
2020-05-15,28081.25586,28292.92188,27093.47266,27234.58398,2706760
2020-05-18,27128.75,27446.25195,26811.24805,27446.25195,2642400
2020-05-19,28151.81055,28151.81055,27446.25195,27587.36328,2389934
2020-05-20,27516.80859,27728.47461,27164.02734,27622.64063,1276533
2020-05-21,27869.58789,28328.20117,27834.30859,28010.69922,3507529
2020-05-22,28010.69922,28222.36719,27728.47461,27728.47461,1616915
2020-05-25,27728.47461,28081.25586,27516.80859,27975.42188,1259000
